sku,filename,status
NS2614-L,NS2614-L.jpg,✅成功
NS2614-M,NS2614-M.jpg,✅成功
NS2614-S,NS2614-S.jpg,✅成功
NS2613-M,NS2613-M.jpg,✅成功
NS2613-S,NS2613-S.jpg,✅成功
NS2611-M,NS2611-M.jpg,✅成功
NS2612-M,NS2612-M.jpg,✅成功
NS2611-S,NS2611-S.jpg,✅成功
NS2612-S,NS2612-S.jpg,✅成功
NS2610-M,NS2610-M.jpg,✅成功
NS2610-S,NS2610-S.jpg,✅成功
NS2609-M,NS2609-M.jpg,✅成功
NS2609-S,NS2609-S.jpg,✅成功
NS2607-M,NS2607-M.jpg,✅成功
NS2607-S,NS2607-S.jpg,✅成功
NS2607-魔法蓝-M,NS2607-魔法蓝-M.jpg,✅成功
NS2607-树莓-M,NS2607-树莓-M.jpg,✅成功
NS2607-魔法蓝-S,NS2607-魔法蓝-S.jpg,✅成功
NS2607-树莓-S,NS2607-树莓-S.jpg,✅成功
NS2606-M,NS2606-M.jpg,✅成功
NS2606-S,NS2606-S.jpg,✅成功
NS2605-M,NS2605-M.jpg,✅成功
NS2605-S,NS2605-S.jpg,✅成功
NS2603-M,NS2603-M.jpg,✅成功
NS2604-M,NS2604-M.jpg,✅成功
NS2603-S,NS2603-S.jpg,✅成功
NS2604-S,NS2604-S.jpg,✅成功
NS2601-M,NS2601-M.jpg,✅成功
NS2602-M,NS2602-M.jpg,✅成功
NS2601-S,NS2601-S.jpg,✅成功
NS2602-S,NS2602-S.jpg,✅成功
TNW-1015-L,TNW-1015-L.jpg,✅成功
TNW-1038-L,TNW-1038-L.jpg,✅成功
TNW-1066-棕格L,TNW-1066-棕格L.jpg,✅成功
TNW-1066-棕格M,TNW-1066-棕格M.jpg,✅成功
TNW-1066-棕格S,TNW-1066-棕格S.jpg,✅成功
TNW-1066-灰格L,TNW-1066-灰格L.jpg,✅成功
TNW-1066-灰格M,TNW-1066-灰格M.jpg,✅成功
TNW-1066-灰格S,TNW-1066-灰格S.jpg,✅成功
TNW-1026-灰紫M,TNW-1026-灰紫M.jpg,✅成功
TNW-1026-灰紫S,TNW-1026-灰紫S.jpg,✅成功
TNW-1022-蓝M,TNW-1022-蓝M.jpg,✅成功
TNW-1022-蓝S,TNW-1022-蓝S.jpg,✅成功
